Algorithm,Generation,median,q1,q3
eps-constraint,1,0.09553925880083741,0.05667932000437033,0.24408707121108528
eps-constraint,2,0.09553925880083741,0.06051196994328541,0.25297249240931685
eps-constraint,3,0.10176289790316687,0.06138009397037268,0.22280514480215052
eps-constraint,4,0.10085131176104031,0.059855591604177125,0.22440051381251747
eps-constraint,5,0.10439670700990904,0.05869100933538345,0.21270832707573314
eps-constraint,6,0.10854747405437881,0.06406779755592837,0.21318334432114744
eps-constraint,7,0.10684509310199787,0.06654102859528174,0.21407957349416779
eps-constraint,8,0.1000380613548443,0.05118942227934416,0.21395094737695602
eps-constraint,9,0.09664739275547438,0.049073442148839796,0.2127251307598483
eps-constraint,10,0.1000380613548443,0.05029121994778419,0.21391650349069619
eps-constraint,11,0.1000380613548443,0.05269877198184972,0.211659667263068
eps-constraint,12,0.10302753800687921,0.05914037880535589,0.21241167514167097
eps-constraint,13,0.09706135129109905,0.05914037880535589,0.20443917248613444
eps-constraint,14,0.10045201989046898,0.06278799471169254,0.20443917248613444
eps-constraint,15,0.10504238054109685,0.06456268639002893,0.20207874950644258
eps-constraint,16,0.10854747405437881,0.06653493151335217,0.20702202132530348
eps-constraint,17,0.10723545148339238,0.06653493151335217,0.21126637992747488
eps-constraint,18,0.1070300123130227,0.06653493151335217,0.20781476253138403
eps-constraint,19,0.10754606833413752,0.06456268639002893,0.20207874950644258
eps-constraint,20,0.10754606833413752,0.06653493151335217,0.20207874950644258
eps-constraint,21,0.10564633128431257,0.06557659419636121,0.19118838265181118
eps-constraint,22,0.10564633128431257,0.06649025545893043,0.19118838265181118
eps-constraint,23,0.1078394022266081,0.06948752200230576,0.20113167267853677
eps-constraint,24,0.1029593574257389,0.06490013430800887,0.18694395523879406
eps-constraint,25,0.1029639002923613,0.06490013430800887,0.18694395523879406
eps-constraint,26,0.1029639002923613,0.06490013430800887,0.18694395523879406
eps-constraint,27,0.1022693169765797,0.0626921673753465,0.18647561482609126
eps-constraint,28,0.1022693169765797,0.0627010219586914,0.18647561482609126
eps-constraint,29,0.10599731195311479,0.06652545089319707,0.20113167267853677
