Scenario,Algorithm,Generation,median,q1,q3
Intersection_Easy,eps-constraint,1,0.07014255819036484,0.05974259484345665,0.08549718103726742
Intersection_Easy,eps-constraint,2,0.08429740433593454,0.06084335595777754,0.08992968018749428
Intersection_Easy,eps-constraint,3,0.08829887017702989,0.06268959181383385,0.09120035437819836
Intersection_Easy,eps-constraint,4,0.0805208719007397,0.06494224628963272,0.09286609829952713
Intersection_Easy,eps-constraint,5,0.08639833538393019,0.06494224628963272,0.10473242132282859
Intersection_Easy,eps-constraint,6,0.09299988396571157,0.07143063822014571,0.10855945131290379
Intersection_Easy,eps-constraint,7,0.09301943979233876,0.07400335347261455,0.10855945131290379
Intersection_Easy,eps-constraint,8,0.09548726920814912,0.06762784355987773,0.10855945131290379
Intersection_Easy,eps-constraint,9,0.09548726920814912,0.0676682455537328,0.10855945131290379
Intersection_Easy,eps-constraint,10,0.09548726920814912,0.06770369631321077,0.10855945131290379
Intersection_Easy,eps-constraint,11,0.09548726920814912,0.06973076159719759,0.10855945131290379
Intersection_Easy,eps-constraint,12,0.09548726920814912,0.0747339569400749,0.10855945131290379
Intersection_Easy,eps-constraint,13,0.09590122774377381,0.075073209219063,0.10855945131290379
Intersection_Easy,eps-constraint,14,0.09590122774377381,0.075073209219063,0.10855945131290379
Intersection_Easy,eps-constraint,15,0.09590122774377381,0.0797160138437362,0.10855945131290379
Intersection_Easy,eps-constraint,16,0.09596881829656748,0.08040992039190724,0.10855945131290379
Intersection_Easy,eps-constraint,17,0.09267975290534969,0.07955165374575464,0.10852351953732885
Intersection_Easy,eps-constraint,18,0.09267975290534969,0.07955165374575464,0.10852351953732885
Intersection_Easy,eps-constraint,19,0.10040125630042161,0.08917543980888676,0.10857142857142876
Intersection_Easy,eps-constraint,20,0.10040125630042161,0.08917543980888676,0.10857142857142876
Intersection_Easy,eps-constraint,21,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,22,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,23,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,24,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,25,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,26,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,27,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,28,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,29,0.10040125630042161,0.09300251447755932,0.10857142857142876
Intersection_Easy,eps-constraint,30,0.10040125630042161,0.09267975290534969,0.10857142857142876
Intersection_Easy,eps-constraint,31,0.09313826217275369,0.06712668331939697,0.10040125630042161
Intersection_Easy,eps-constraint,32,0.09313826217275369,0.06712668331939697,0.10040125630042161
Intersection_Easy,eps-constraint,33,0.09313826217275369,0.06712668331939697,0.10040125630042161
