Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Intersection_Easy,0,0.10857142857142876,0.0,30.35489640000742,4440,73,True,259.70896110206377,3578,253.17026780184824,1281,97.4822996971422,2131,2310,4441,0.4798468813330331
Intersection_Easy,1,0.10857142857142876,0.0,28.49242859997321,3840,63,True,236.60280439991038,3161,231.52485110261478,1164,97.85380680073735,1830,2011,3841,0.47643842749284043
Intersection_Easy,2,0.10856734688046599,4.357324465830682e-06,31.50657049997244,4860,80,False,270.0785288994666,3932,263.66965139715467,1318,97.62703183832227,2240,2621,4861,0.46081053281217854
Intersection_Easy,3,0.10857142857142876,0.0,36.22366789996158,4860,80,False,317.6306354018161,4025,308.92487640224863,1583,97.25915638189171,2407,2454,4861,0.4951656037852294
Intersection_Easy,4,0.10857142857142876,0.0,28.630998299922794,3840,63,True,243.12249010475352,3164,237.03350410109852,1215,97.49550689406338,1886,1955,3841,0.49101796407185627
Intersection_Easy,5,0.10857142857142876,0.0,41.548972200020216,4680,77,True,365.52222210227046,3868,353.3219328977866,1701,96.66223051109864,2494,2187,4681,0.5327921384319589
Intersection_Easy,6,0.10857142857142876,0.0,33.567427000030875,4860,80,False,275.17051250406075,3961,268.6354953999398,1382,97.62510268827424,2260,2601,4861,0.46492491256943014
Intersection_Easy,7,0.10857142857142876,0.0,34.614338999963365,4860,80,False,277.8921204037033,4003,270.91086100018583,1401,97.48778072822807,2243,2618,4861,0.4614276897757663
Intersection_Easy,8,0.10857142857142876,0.0,37.397035900037736,4260,70,True,295.05623180116527,3497,287.04525709629524,1493,97.28493289026055,2249,2012,4261,0.5278103731518423
Intersection_Easy,9,0.10857142857142876,0.0,35.21391039993614,4440,73,True,276.8957343933871,3649,270.2560279988684,1385,97.60209148433987,2155,2286,4441,0.48525106957892367
