Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
LaneMerge_Easy,0,0.19596765434980862,0.06647697307958134,30.509497299906798,2820,47,True,26.717010200489312,2820,26.46255970094353,282,99.04760862972188,153,2667,2820,0.05425531914893617
LaneMerge_Easy,1,0.19605050760937076,0.09247097312406562,51.94344780000392,4320,72,True,40.21676870225929,4320,39.82486519974191,432,99.02552215117332,223,4097,4320,0.05162037037037037
LaneMerge_Easy,2,0.001603707390435256,0.10399789032329096,30.46854579995852,2880,48,True,26.460368801257573,2880,26.19865830009803,289,99.01093403827727,166,2714,2880,0.05763888888888889
LaneMerge_Easy,3,0.18899241149592583,0.13741248798628325,42.52375379996374,3720,62,True,34.659574200748466,3720,34.323743198183365,372,99.03105848727407,198,3522,3720,0.0532258064516129
LaneMerge_Easy,4,0.19273954606814866,0.14694238558398925,47.72115789994132,4140,69,True,37.28604040038772,4140,36.90461310115643,414,98.97702385360468,240,3900,4140,0.057971014492753624
LaneMerge_Easy,5,0.19253008944424124,0.16772779904331597,17.39376790006645,1800,30,True,16.25431680167094,1800,16.106978600029834,180,99.09354417390242,86,1714,1800,0.04777777777777778
LaneMerge_Easy,6,0.19238111243362013,0.08760470269641771,9.022420800058171,960,16,True,8.785833499860018,960,8.7097939994419,96,99.13452149509399,45,915,960,0.046875
LaneMerge_Easy,7,0.1876899518695867,0.17200231486364193,58.723953300039284,4800,80,False,42.882661400246434,4800,42.431811199639924,480,98.94864221136257,269,4531,4800,0.05604166666666666
LaneMerge_Easy,8,0.19009548123577835,0.10427738406804844,36.745806799968705,3420,57,True,30.46145120181609,3420,30.158571501611732,342,99.00569510560186,178,3242,3420,0.052046783625730994
LaneMerge_Easy,9,0.19316937012084992,0.13599037844803633,38.677431100048125,3540,59,True,31.834962901077233,3540,31.51673710020259,354,99.00038896899774,194,3346,3540,0.05480225988700565
