Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
LaneMerge_Hard,0,0.38465845643749075,0.12043857764582808,70.2931711000856,4800,80,False,55.15680229768623,4800,54.668140799505636,480,99.11405034769196,284,4516,4800,0.059166666666666666
LaneMerge_Hard,1,0.38969392960921934,0.0788462075641974,49.161465500015765,3720,62,True,41.741925800568424,3720,41.39629080018494,372,99.17197159988538,208,3512,3720,0.05591397849462366
LaneMerge_Hard,2,0.3868836839817024,0.09667468511401592,26.205116000026464,2100,35,True,24.559329200419597,2100,24.36364739923738,211,99.20322823320893,129,1971,2100,0.06142857142857143
LaneMerge_Hard,3,0.3868747723527353,0.09875870551382405,58.245766799896955,4200,70,True,47.83433039160445,4200,47.431030499283224,420,99.15688191092143,244,3956,4200,0.058095238095238096
LaneMerge_Hard,4,0.38120119191246055,0.09676526389768213,35.84268040000461,2820,47,True,32.33756669831928,2820,32.07436570036225,282,99.18608286018407,168,2652,2820,0.059574468085106386
LaneMerge_Hard,5,0.3920552912884809,0.047838399179985655,45.12142779992428,3420,57,True,39.18484049721155,3420,38.862698900629766,342,99.17789228565391,199,3221,3420,0.058187134502923975
LaneMerge_Hard,6,0.3920533960762834,0.05941350437299812,38.446753600030206,3000,50,True,34.27147640136536,3000,33.989682699670084,300,99.17776025055036,174,2826,3000,0.058
LaneMerge_Hard,7,0.39086456354305843,0.12422173316246446,49.89559470000677,3720,62,True,42.444858499919064,3720,42.08881220116746,372,99.16115564679693,218,3502,3720,0.05860215053763441
LaneMerge_Hard,8,0.37191399483639953,0.10893670535119312,23.659101800061762,1920,32,True,22.387901303824037,1920,22.216087500331923,192,99.23255958135402,102,1818,1920,0.053125
LaneMerge_Hard,9,0.38633964599124593,0.08017601239573555,56.60875379992649,4020,67,True,47.38219599833246,4020,47.001023600809276,402,99.1955366578269,221,3799,4020,0.054975124378109454
