Scenario,run,HV,IGD+,runtime_s,evaluations,generations,stopped_early,evaluate_time_s,evaluate_calls,verifyta_time_s,verifyta_calls,verifyta_pct,feasible_calls,infeasible_calls,total_calls,feasibility_rate
Overtaking_Hard,0,0.37228477254622966,0.15780536961719974,24.33816060004756,2956,48,True,24.25397630117368,2956,23.964807199896313,296,98.80774559319012,183,2773,2956,0.06190798376184033
Overtaking_Hard,1,0.39673086089442633,0.09096470766933054,20.0545227000257,2536,41,True,19.984920000191778,2536,19.75549350026995,254,98.85200190984189,124,2412,2536,0.04889589905362776
Overtaking_Hard,2,0.23381840571207346,0.5364010567834143,15.084694299963303,1876,30,True,15.035391599172726,1876,14.874632600112818,188,98.93079606208093,78,1798,1876,0.04157782515991471
Overtaking_Hard,3,0.3974721471238934,0.08893787779108221,19.588856999995187,2356,38,True,19.523746297578327,2356,19.311708400025964,236,98.91394871496223,118,2238,2356,0.0500848896434635
Overtaking_Hard,4,0.33342584910283396,0.2640537038514066,21.076511499937624,2536,41,True,21.01160759816412,2536,20.78634709934704,254,98.92792354052547,138,2398,2536,0.05441640378548896
Overtaking_Hard,5,0.3519556782554873,0.2133893182571509,20.459285199991427,2476,40,True,20.396411899710074,2476,20.1837957999669,248,98.95758086869095,143,2333,2476,0.05775444264943457
Overtaking_Hard,6,0.17478775664731572,0.04493453165864453,16.746478299959563,2056,33,True,16.695432199863717,2056,16.535006399732083,206,99.03910364097706,74,1982,2056,0.03599221789883268
Overtaking_Hard,7,0.3644823983317045,0.1791386745548105,38.205452199908905,4516,74,True,38.0848495044047,4516,37.681179099367,452,98.94007614500087,241,4275,4516,0.05336581045172719
Overtaking_Hard,8,0.35582170836267607,0.2028187922983854,25.548419500002638,3016,49,True,25.470870701712556,3016,25.211394801270217,302,98.98128374376736,160,2856,3016,0.05305039787798409
Overtaking_Hard,9,0.3131614483478373,0.3194607669834842,15.9308673000196,1876,30,True,15.882286102860235,1876,15.72236759972293,188,98.99310148361762,100,1776,1876,0.053304904051172705
