run,HV,IGD+,runtime_s,evaluations,generations,stopped_early
0,0.5322075976014503,0.00011668526944941249,41.842407999996794,4860,80,False
1,0.5159004613299197,0.00174739889660247,17.665330400006496,4860,80,False
2,0.5326832644667064,6.911858292379947e-05,24.715022899996256,4860,80,False
3,0.5206573601976346,0.0012717090098309791,33.171157799995854,4860,80,False
4,0.5330344194955213,3.4003080042310785e-05,40.64218230001279,4860,80,False
5,0.5323343662908894,0.00010400840050550642,10.90128160000313,4860,80,True
6,0.5103487535151804,0.002302569678076405,42.4245699000021,4860,80,False
7,0.48590159792185794,0.004747285237408638,39.05005180000444,4860,80,False
8,0.5300353175368452,0.00033391327590992503,26.31506619999709,4860,80,False
9,0.5227429222949195,0.001063152800102496,29.21268229999987,4860,80,False
